web-scraper-order,web-scraper-start-url,hyperlink,hyperlink-href
"1623216670-37","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","Joint Pub3-11:Doctrine for joint theater nuclear operations.JP3-12.1_960209","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP3_12.1_960209.pdf"
"1623216670-10","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","Joint Pub3-02:Amphibious Embarkation and Debarkation.JP3-02.1_101130","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP3_02.1_101130.pdf"
"1623216670-4","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","Joint Pub3-01.2:Joint doctrine for theater counterair operations.JP3-01.2_860401","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP3_01.2_860401.pdf"
"1623216670-29","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","Joint  Pub3-09.3: Close air support. JP3-09.3_090708.","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP_3_09.3_090708.pdf"
"1623216670-55","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","Joint Pub3-50:National Search and Rescue Manual Volume I: National Search and Rescue System.JP3-50_910201","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP3_50_910201.pdf"
"1623216670-12","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","Joint Pub3-04:Joint shipboard helicopter operations.JP3-04_080930","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP3_04_080930.pdf"
"1623216670-11","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","Joint Pub3-03.:Joint interdiction.JP3_03_111014","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP3_03_111014.pdf"
"1623216670-16","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","Joint Pub3-05:Doctrine for joint special operations.JP3-05_921028","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP3_05_921028.pdf"
"1623216670-8","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","Joint Pub3-02.2:Joint doctrine for amphibious embarkation.JP3-02.2_930416","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP3_02.2_930416.pdf"
"1623216670-5","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","Joint Pub3-01.4:JTTP for joint suppression of enemy defenses (J-SEAD).JP3-01.4_950725","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP3_01.4_950725.pdf"
"1623216670-7","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","Joint Pub3-02.1:Amphibious embarkation and debarkation.JP3-02.1_101130","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP3_02.1_101130.pdf"
"1623216670-57","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","Joint Pub3-53:Doctrine for joint psychological operations.JP3-53_960710","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP3_53_960710.pdf"
"1623216670-40","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","Joint Pub3-13.1:Electronic warfare.JP3-13.1_070125","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP3_13.1_070125.pdf"
"1623216670-26","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","Joint Pub3-08 v.2 United States. Joint Chiefs of Staff.:Interagency, intergovenmental organization, and nongovernmental organization coordination during joint operations, v. 2.","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP3_08v2_060317.pdf"
"1623216670-53","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","Joint Pub3-50.2:Doctrine for joint combat search and rescue.JP3-50.2_960126","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP3_50.2_960126.pdf"
